en,pos,tr,ex_en,ex_tr,note
besides,adv,кроме того,,,
bet,v,держать пари,,,
beyond,prep,за пределами,,,
beyond,adv,дальше,,,
bias,n,предвзятость,,,
bid,v,предлагать цену,,,
biological,adj,биологический,,,
bitter,adj,горький,,,
blame,n,вина,,,
blame,v,винить,,,
blanket,n,одеяло,,,
blind,adj,слепой,,,
bold,adj,смелый,,,
bombing,n,бомбардировка,,,
bond,n,"связь, узы",,,
boost,v,"повышать, стимулировать",,,
bound,adj,"обязанный, направляющийся",,,
breast,n,грудь,,,
brick,n,кирпич,,,
brief,adj,краткий,,,
briefly,adv,кратко,,,
broad,adj,широкий,,,
broadcast,n,трансляция,,,
broadcast,v,транслировать,,,
broadcaster,n,"вещатель, телеведущий",,,
broadly,adv,в широком смысле,,,
buck,n,доллар,,,
budget,n,бюджет,,,
bug,n,"жук, ошибка",,,
bullet,n,пуля,,,
bunch,n,"пучок, связка",,,
bush,n,куст,,,
but,prep,кроме,,,
cabin,n,"каюта, хижина",,,
cable,n,"кабель, трос",,,
calculate,v,вычислять,,,
canal,n,канал,,,
cancel,v,отменять,,,
cancer,n,рак,,,
candle,n,свеча,,,
capable,adj,способный,,,
capacity,n,"вместимость, способность",,,
capture,v,захватывать,,,
carbon,n,углерод,,,
cast,n,актёрский состав,,,
cast,v,"бросать, отливать",,,
casual,adj,повседневный,,,
catastrophe,n,катастрофа,,,
cave,n,пещера,,,
cell,n,"клетка, ячейка",,,
certainty,n,уверенность,,,
certificate,n,"сертификат, свидетельство",,,
chairman,n,председатель,,,
challenging,adj,"трудный, требующий усилий",,,
championship,n,чемпионат,,,
characteristic,n,характеристика,,,
charming,adj,обаятельный,,,
chase,v,преследовать,,,
cheek,n,щека,,,
cheer,v,подбадривать,,,
chief,adj,главный,,,
chief,n,"начальник, вождь",,,
chop,v,рубить,,,
circuit,n,"цепь, трасса",,,
circumstance,n,обстоятельство,,,
cite,v,цитировать,,,
citizen,n,гражданин,,,
civil,adj,гражданский,,,
civilization,n,цивилизация,,,
clarify,v,прояснять,,,
classic,adj,классический,,,
classic,n,классика,,,
classify,v,классифицировать,,,
clause,n,"пункт, придаточное предложение",,,
cliff,n,утёс,,,
clinic,n,клиника,,,
clip,n,"клип, зажим",,,
closely,adv,"внимательно, тесно",,,
coincidence,n,совпадение,,,
collapse,v,"обрушиваться, падать",,,
collector,n,коллекционер,,,
colony,n,колония,,,
colourful,adj,красочный,,,
combination,n,комбинация,,,
comfort,n,"комфорт, утешение",,,
comic,adj,комический,,,
comic,n,комикс,,,
command,n,команда,,,
command,v,командовать,,,
commander,n,командир,,,
commission,n,комиссия,,,
commitment,n,обязательство,,,
committee,n,комитет,,,
commonly,adv,обычно,,,
comparative,adj,сравнительный,,,
completion,n,завершение,,,
complicated,adj,сложный,,,
component,n,компонент,,,
compose,v,"сочинять, составлять",,,
composer,n,композитор,,,
compound,n,"соединение, состав",,,
comprehensive,adj,всесторонний,,,
compulsory,adj,обязательный,,,
concentration,n,концентрация,,,
concept,n,"понятие, концепция",,,
concern,n,"беспокойство, интерес",,,
concern,v,"касаться, беспокоить",,,
concerned,adj,обеспокоенный,,,
conclusion,n,вывод,,,
concrete,adj,"бетонный, конкретный",,,
concrete,n,бетон,,,
conduct,v,проводить,,,
confess,v,признаваться,,,
confidence,n,"уверенность, доверие",,,
conflict,n,конфликт,,,
confusing,adj,запутанный,,,
confusion,n,замешательство,,,
conscious,adj,сознательный,,,
consequence,n,последствие,,,
consequently,adv,следовательно,,,
conservation,n,охрана природы,,,
conservative,adj,консервативный,,,
conservative,n,консерватор,,,
considerable,adj,значительный,,,
considerably,adv,значительно,,,
consideration,n,рассмотрение,,,
consist of,v,состоять из,,,
consistent,adj,последовательный,,,
consistently,adv,последовательно,,,
conspiracy,n,заговор,,,
constant,adj,постоянный,,,
constantly,adv,постоянно,,,
construct,v,"строить, конструировать",,,
construction,n,строительство,,,
consult,v,консультироваться,,,
consultant,n,консультант,,,
consumer,n,потребитель,,,
consumption,n,потребление,,,
contemporary,adj,современный,,,
contest,n,"конкурс, соревнование",,,
context,n,контекст,,,
contract,n,"договор, контракт",,,
contribute,v,вносить вклад,,,
contribution,n,вклад,,,
controversial,adj,спорный,,,
controversy,n,"спор, полемика",,,
convenience,n,удобство,,,
convention,n,"соглашение, съезд",,,
conventional,adj,традиционный,,,
convert,v,преобразовывать,,,
convey,v,передавать,,,
convinced,adj,убеждённый,,,
convincing,adj,убедительный,,,
cope,v,справляться,,,
core,n,ядро,,,
core,adj,основной,,,
corporate,adj,корпоративный,,,
corporation,n,корпорация,,,
corridor,n,коридор,,,
council,n,совет,,,
counter,n,"прилавок, стойка",,,
county,n,графство,,,
courage,n,мужество,,,
coverage,n,"освещение, охват",,,
cowboy,n,ковбой,,,
crack,v,"трескаться, ломаться",,,
crash,n,"авария, крушение",,,
crash,v,разбиваться,,,
creation,n,создание,,,
creativity,n,креативность,,,
creature,n,существо,,,
crew,n,"команда, экипаж",,,
crisis,n,кризис,,,
critic,n,критик,,,
critical,adj,критический,,,
critically,adv,критически,,,
criticism,n,критика,,,
criticise,v,критиковать,,,
crop,n,урожай,,,
crucial,adj,решающий,,,
cruise,n,круиз,,,
cue,n,"подсказка, сигнал",,,
cure,n,лекарство,,,
cure,v,лечить,,,
curious,adj,любопытный,,,
curriculum,n,учебный план,,,
curve,n,"кривая, изгиб",,,
curve,v,изгибать,,,
curved,adj,изогнутый,,,
dairy,n,молочная ферма,,,
dairy,adj,молочный,,,
dare,v,сметь,,,
darkness,n,темнота,,,
data,n,данные,,,
database,n,база данных,,,
deadline,n,крайний срок,,,
deadly,adj,смертельный,,,
dealer,n,"дилер, торговец",,,
debate,n,дебаты,,,
debate,v,обсуждать,,,
debt,n,долг,,,
decent,adj,приличный,,,
deck,n,палуба,,,
declare,v,объявлять,,,
decline,n,"снижение, упадок",,,
decline,v,"снижаться, отклонять",,,
decoration,n,украшение,,,
decrease,v,уменьшаться,,,
decrease,n,уменьшение,,,
deeply,adv,глубоко,,,
defeat,n,поражение,,,
defeat,v,побеждать,,,
defence,n,"оборона, защита",,,
defend,v,защищать,,,
defender,n,защитник,,,
define,v,определять,,,
definition,n,определение,,,
delay,n,задержка,,,
delay,v,задерживать,,,
delete,v,удалять,,,
deliberate,adj,намеренный,,,
deliberately,adv,намеренно,,,
delight,n,восторг,,,
delighted,adj,в восторге,,,
delivery,n,доставка,,,
demand,n,"спрос, требование",,,
demand,v,требовать,,,
democracy,n,демократия,,,
democratic,adj,демократический,,,
demonstrate,v,демонстрировать,,,
demonstration,n,демонстрация,,,
deny,v,отрицать,,,
depart,v,отправляться,,,
dependent,adj,зависимый,,,
deposit,n,"депозит, залог",,,
deposit,v,"вносить, класть",,,
depressed,adj,подавленный,,,
